row_hash,issue_code,affected_scope,affected_from,affected_to,decision,severity,signal_blocking,details
667dbbec15bfc3b3,ADJUSTED_NONPOSITIVE_PRICE_TRADED,DAILY_PRICE_ROW,2015-08-17,2015-08-17,REJECT,ERROR,False,"{""adjusted_source_id"":""PYKRX_NAVER_ADJUSTED"",""source_id"":""PYKRX_KRX_UNADJUSTED""}"
9f961e109b5f56c9,ADJUSTED_NONPOSITIVE_PRICE_TRADED,DAILY_PRICE_ROW,2016-02-16,2016-02-16,REJECT,ERROR,False,"{""adjusted_source_id"":""PYKRX_NAVER_ADJUSTED"",""source_id"":""PYKRX_KRX_UNADJUSTED""}"
c87e88d154256469,ADJUSTED_NONPOSITIVE_PRICE_TRADED,DAILY_PRICE_ROW,2016-03-25,2016-03-25,REJECT,ERROR,False,"{""adjusted_source_id"":""PYKRX_NAVER_ADJUSTED"",""source_id"":""PYKRX_KRX_UNADJUSTED""}"
2805d403141f188d,ADJUSTED_NONPOSITIVE_PRICE_TRADED,DAILY_PRICE_ROW,2021-02-01,2021-02-01,REJECT,ERROR,False,"{""adjusted_source_id"":""PYKRX_NAVER_ADJUSTED"",""source_id"":""PYKRX_KRX_UNADJUSTED""}"
2500a396dd3fa567,ADJUSTED_OHLC_ORDER_VIOLATION,DAILY_PRICE_ROW,2015-01-02,2015-01-02,REJECT,ERROR,False,"{""adjusted_source_id"":""PYKRX_NAVER_ADJUSTED"",""source_id"":""PYKRX_KRX_UNADJUSTED""}"
2500a396dd3fa567,ADJUSTED_OHLC_ORDER_VIOLATION,DAILY_PRICE_ROW,2015-01-02,2015-01-02,REJECT,ERROR,False,"{""adjusted_source_id"":""PYKRX_NAVER_ADJUSTED"",""source_id"":""PYKRX_KRX_UNADJUSTED""}"
4c4a94f280b3656f,ADJUSTED_OHLC_ORDER_VIOLATION,DAILY_PRICE_ROW,2015-01-19,2015-01-19,REJECT,ERROR,False,"{""adjusted_source_id"":""PYKRX_NAVER_ADJUSTED"",""source_id"":""PYKRX_KRX_UNADJUSTED""}"
d54310b035518bf8,ADJUSTED_OHLC_ORDER_VIOLATION,DAILY_PRICE_ROW,2015-01-23,2015-01-23,REJECT,ERROR,False,"{""adjusted_source_id"":""PYKRX_NAVER_ADJUSTED"",""source_id"":""PYKRX_KRX_UNADJUSTED""}"
ac25e9af56a5a320,ADJUSTED_OHLC_ORDER_VIOLATION,DAILY_PRICE_ROW,2015-02-05,2015-02-05,REJECT,ERROR,False,"{""adjusted_source_id"":""PYKRX_NAVER_ADJUSTED"",""source_id"":""PYKRX_KRX_UNADJUSTED""}"
9d6cad683d9e201e,ADJUSTED_OHLC_ORDER_VIOLATION,DAILY_PRICE_ROW,2015-02-10,2015-02-10,REJECT,ERROR,False,"{""adjusted_source_id"":""PYKRX_NAVER_ADJUSTED"",""source_id"":""PYKRX_KRX_UNADJUSTED""}"
60e360d98587d540,ADJUSTED_OHLC_ORDER_VIOLATION,DAILY_PRICE_ROW,2015-02-16,2015-02-16,REJECT,ERROR,False,"{""adjusted_source_id"":""PYKRX_NAVER_ADJUSTED"",""source_id"":""PYKRX_KRX_UNADJUSTED""}"
a6e0f57fb12875f0,ADJUSTED_OHLC_ORDER_VIOLATION,DAILY_PRICE_ROW,2015-03-12,2015-03-12,REJECT,ERROR,False,"{""adjusted_source_id"":""PYKRX_NAVER_ADJUSTED"",""source_id"":""PYKRX_KRX_UNADJUSTED""}"
a226ece4ee77571d,ADJUSTED_OHLC_ORDER_VIOLATION,DAILY_PRICE_ROW,2015-04-10,2015-04-10,REJECT,ERROR,False,"{""adjusted_source_id"":""PYKRX_NAVER_ADJUSTED"",""source_id"":""PYKRX_KRX_UNADJUSTED""}"
bacc4014bf13dc21,ADJUSTED_OHLC_ORDER_VIOLATION,DAILY_PRICE_ROW,2015-05-14,2015-05-14,REJECT,ERROR,False,"{""adjusted_source_id"":""PYKRX_NAVER_ADJUSTED"",""source_id"":""PYKRX_KRX_UNADJUSTED""}"
4bf9faf0ce8749c5,ADJUSTED_OHLC_ORDER_VIOLATION,DAILY_PRICE_ROW,2015-06-08,2015-06-08,REJECT,ERROR,False,"{""adjusted_source_id"":""PYKRX_NAVER_ADJUSTED"",""source_id"":""PYKRX_KRX_UNADJUSTED""}"
ca5df17b8b35fdfd,ADJUSTED_OHLC_ORDER_VIOLATION,DAILY_PRICE_ROW,2015-06-19,2015-06-19,REJECT,ERROR,False,"{""adjusted_source_id"":""PYKRX_NAVER_ADJUSTED"",""source_id"":""PYKRX_KRX_UNADJUSTED""}"
c609907286c3357b,ADJUSTED_OHLC_ORDER_VIOLATION,DAILY_PRICE_ROW,2015-07-01,2015-07-01,REJECT,ERROR,False,"{""adjusted_source_id"":""PYKRX_NAVER_ADJUSTED"",""source_id"":""PYKRX_KRX_UNADJUSTED""}"
78f08f7f2c3499f7,ADJUSTED_OHLC_ORDER_VIOLATION,DAILY_PRICE_ROW,2015-07-03,2015-07-03,REJECT,ERROR,False,"{""adjusted_source_id"":""PYKRX_NAVER_ADJUSTED"",""source_id"":""PYKRX_KRX_UNADJUSTED""}"
8dbb51123f7f1db8,ADJUSTED_OHLC_ORDER_VIOLATION,DAILY_PRICE_ROW,2015-07-14,2015-07-14,REJECT,ERROR,False,"{""adjusted_source_id"":""PYKRX_NAVER_ADJUSTED"",""source_id"":""PYKRX_KRX_UNADJUSTED""}"
5099b1d9bd461020,ADJUSTED_OHLC_ORDER_VIOLATION,DAILY_PRICE_ROW,2015-07-17,2015-07-17,REJECT,ERROR,False,"{""adjusted_source_id"":""PYKRX_NAVER_ADJUSTED"",""source_id"":""PYKRX_KRX_UNADJUSTED""}"
d5021ea592dac42e,ADJUSTED_OHLC_ORDER_VIOLATION,DAILY_PRICE_ROW,2015-08-04,2015-08-04,REJECT,ERROR,False,"{""adjusted_source_id"":""PYKRX_NAVER_ADJUSTED"",""source_id"":""PYKRX_KRX_UNADJUSTED""}"
0217f2408beb6fde,ADJUSTED_OHLC_ORDER_VIOLATION,DAILY_PRICE_ROW,2015-08-05,2015-08-05,REJECT,ERROR,False,"{""adjusted_source_id"":""PYKRX_NAVER_ADJUSTED"",""source_id"":""PYKRX_KRX_UNADJUSTED""}"
2e19908e8f1c3eed,ADJUSTED_OHLC_ORDER_VIOLATION,DAILY_PRICE_ROW,2015-09-23,2015-09-23,REJECT,ERROR,False,"{""adjusted_source_id"":""PYKRX_NAVER_ADJUSTED"",""source_id"":""PYKRX_KRX_UNADJUSTED""}"
711a3672b8ae6e13,ADJUSTED_OHLC_ORDER_VIOLATION,DAILY_PRICE_ROW,2015-10-13,2015-10-13,REJECT,ERROR,False,"{""adjusted_source_id"":""PYKRX_NAVER_ADJUSTED"",""source_id"":""PYKRX_KRX_UNADJUSTED""}"
02d4e5a71f3d7824,ADJUSTED_OHLC_ORDER_VIOLATION,DAILY_PRICE_ROW,2015-11-12,2015-11-12,REJECT,ERROR,False,"{""adjusted_source_id"":""PYKRX_NAVER_ADJUSTED"",""source_id"":""PYKRX_KRX_UNADJUSTED""}"
801738361644aa5c,ADJUSTED_OHLC_ORDER_VIOLATION,DAILY_PRICE_ROW,2015-11-13,2015-11-13,REJECT,ERROR,False,"{""adjusted_source_id"":""PYKRX_NAVER_ADJUSTED"",""source_id"":""PYKRX_KRX_UNADJUSTED""}"
c78b9e7fbe409192,ADJUSTED_OHLC_ORDER_VIOLATION,DAILY_PRICE_ROW,2015-11-20,2015-11-20,REJECT,ERROR,False,"{""adjusted_source_id"":""PYKRX_NAVER_ADJUSTED"",""source_id"":""PYKRX_KRX_UNADJUSTED""}"
4821b8ca0b1fa92c,ADJUSTED_OHLC_ORDER_VIOLATION,DAILY_PRICE_ROW,2015-12-04,2015-12-04,REJECT,ERROR,False,"{""adjusted_source_id"":""PYKRX_NAVER_ADJUSTED"",""source_id"":""PYKRX_KRX_UNADJUSTED""}"
f01bed51fadbf5d0,ADJUSTED_OHLC_ORDER_VIOLATION,DAILY_PRICE_ROW,2016-01-12,2016-01-12,REJECT,ERROR,False,"{""adjusted_source_id"":""PYKRX_NAVER_ADJUSTED"",""source_id"":""PYKRX_KRX_UNADJUSTED""}"
57f83d040c70cd47,ADJUSTED_OHLC_ORDER_VIOLATION,DAILY_PRICE_ROW,2016-01-22,2016-01-22,REJECT,ERROR,False,"{""adjusted_source_id"":""PYKRX_NAVER_ADJUSTED"",""source_id"":""PYKRX_KRX_UNADJUSTED""}"
8f5242915c00370a,ADJUSTED_OHLC_ORDER_VIOLATION,DAILY_PRICE_ROW,2016-01-26,2016-01-26,REJECT,ERROR,False,"{""adjusted_source_id"":""PYKRX_NAVER_ADJUSTED"",""source_id"":""PYKRX_KRX_UNADJUSTED""}"
5cf984e3f7f5b527,ADJUSTED_OHLC_ORDER_VIOLATION,DAILY_PRICE_ROW,2016-04-12,2016-04-12,REJECT,ERROR,False,"{""adjusted_source_id"":""PYKRX_NAVER_ADJUSTED"",""source_id"":""PYKRX_KRX_UNADJUSTED""}"
093b1b31ca01bfc7,ADJUSTED_OHLC_ORDER_VIOLATION,DAILY_PRICE_ROW,2016-04-27,2016-04-27,REJECT,ERROR,False,"{""adjusted_source_id"":""PYKRX_NAVER_ADJUSTED"",""source_id"":""PYKRX_KRX_UNADJUSTED""}"
850899fdfa97500e,ADJUSTED_OHLC_ORDER_VIOLATION,DAILY_PRICE_ROW,2016-06-03,2016-06-03,REJECT,ERROR,False,"{""adjusted_source_id"":""PYKRX_NAVER_ADJUSTED"",""source_id"":""PYKRX_KRX_UNADJUSTED""}"
367e8279fb575b3c,ADJUSTED_OHLC_ORDER_VIOLATION,DAILY_PRICE_ROW,2016-06-08,2016-06-08,REJECT,ERROR,False,"{""adjusted_source_id"":""PYKRX_NAVER_ADJUSTED"",""source_id"":""PYKRX_KRX_UNADJUSTED""}"
d437d26ceda1d9c9,ADJUSTED_OHLC_ORDER_VIOLATION,DAILY_PRICE_ROW,2016-06-14,2016-06-14,REJECT,ERROR,False,"{""adjusted_source_id"":""PYKRX_NAVER_ADJUSTED"",""source_id"":""PYKRX_KRX_UNADJUSTED""}"
a63fad34d44fbb7e,ADJUSTED_OHLC_ORDER_VIOLATION,DAILY_PRICE_ROW,2016-06-20,2016-06-20,REJECT,ERROR,False,"{""adjusted_source_id"":""PYKRX_NAVER_ADJUSTED"",""source_id"":""PYKRX_KRX_UNADJUSTED""}"
9a477f0e945b894e,ADJUSTED_OHLC_ORDER_VIOLATION,DAILY_PRICE_ROW,2016-06-22,2016-06-22,REJECT,ERROR,False,"{""adjusted_source_id"":""PYKRX_NAVER_ADJUSTED"",""source_id"":""PYKRX_KRX_UNADJUSTED""}"
fcd09fddc4437abf,ADJUSTED_OHLC_ORDER_VIOLATION,DAILY_PRICE_ROW,2016-07-07,2016-07-07,REJECT,ERROR,False,"{""adjusted_source_id"":""PYKRX_NAVER_ADJUSTED"",""source_id"":""PYKRX_KRX_UNADJUSTED""}"
f514843c7ec54d00,ADJUSTED_OHLC_ORDER_VIOLATION,DAILY_PRICE_ROW,2016-07-13,2016-07-13,REJECT,ERROR,False,"{""adjusted_source_id"":""PYKRX_NAVER_ADJUSTED"",""source_id"":""PYKRX_KRX_UNADJUSTED""}"
e340f844233ef380,ADJUSTED_OHLC_ORDER_VIOLATION,DAILY_PRICE_ROW,2016-07-19,2016-07-19,REJECT,ERROR,False,"{""adjusted_source_id"":""PYKRX_NAVER_ADJUSTED"",""source_id"":""PYKRX_KRX_UNADJUSTED""}"
72fad0d8b615f7ba,ADJUSTED_OHLC_ORDER_VIOLATION,DAILY_PRICE_ROW,2016-07-20,2016-07-20,REJECT,ERROR,False,"{""adjusted_source_id"":""PYKRX_NAVER_ADJUSTED"",""source_id"":""PYKRX_KRX_UNADJUSTED""}"
8e07fcc30022c7d9,ADJUSTED_OHLC_ORDER_VIOLATION,DAILY_PRICE_ROW,2016-07-22,2016-07-22,REJECT,ERROR,False,"{""adjusted_source_id"":""PYKRX_NAVER_ADJUSTED"",""source_id"":""PYKRX_KRX_UNADJUSTED""}"
98b82e407e14c37f,ADJUSTED_OHLC_ORDER_VIOLATION,DAILY_PRICE_ROW,2016-07-27,2016-07-27,REJECT,ERROR,False,"{""adjusted_source_id"":""PYKRX_NAVER_ADJUSTED"",""source_id"":""PYKRX_KRX_UNADJUSTED""}"
515b8aa07b6ad841,ADJUSTED_OHLC_ORDER_VIOLATION,DAILY_PRICE_ROW,2016-07-29,2016-07-29,REJECT,ERROR,False,"{""adjusted_source_id"":""PYKRX_NAVER_ADJUSTED"",""source_id"":""PYKRX_KRX_UNADJUSTED""}"
e4ea22331ddc98c0,ADJUSTED_OHLC_ORDER_VIOLATION,DAILY_PRICE_ROW,2016-08-23,2016-08-23,REJECT,ERROR,False,"{""adjusted_source_id"":""PYKRX_NAVER_ADJUSTED"",""source_id"":""PYKRX_KRX_UNADJUSTED""}"
d7e06488e3d2eabd,ADJUSTED_OHLC_ORDER_VIOLATION,DAILY_PRICE_ROW,2016-09-19,2016-09-19,REJECT,ERROR,False,"{""adjusted_source_id"":""PYKRX_NAVER_ADJUSTED"",""source_id"":""PYKRX_KRX_UNADJUSTED""}"
1668b1d88882fac8,ADJUSTED_OHLC_ORDER_VIOLATION,DAILY_PRICE_ROW,2016-10-05,2016-10-05,REJECT,ERROR,False,"{""adjusted_source_id"":""PYKRX_NAVER_ADJUSTED"",""source_id"":""PYKRX_KRX_UNADJUSTED""}"
4d19a12afe1f48c5,ADJUSTED_OHLC_ORDER_VIOLATION,DAILY_PRICE_ROW,2016-10-21,2016-10-21,REJECT,ERROR,False,"{""adjusted_source_id"":""PYKRX_NAVER_ADJUSTED"",""source_id"":""PYKRX_KRX_UNADJUSTED""}"
ba9866946b32df99,ADJUSTED_OHLC_ORDER_VIOLATION,DAILY_PRICE_ROW,2016-10-27,2016-10-27,REJECT,ERROR,False,"{""adjusted_source_id"":""PYKRX_NAVER_ADJUSTED"",""source_id"":""PYKRX_KRX_UNADJUSTED""}"
ba9866946b32df99,ADJUSTED_OHLC_ORDER_VIOLATION,DAILY_PRICE_ROW,2016-10-27,2016-10-27,REJECT,ERROR,False,"{""adjusted_source_id"":""PYKRX_NAVER_ADJUSTED"",""source_id"":""PYKRX_KRX_UNADJUSTED""}"
886a3950dab58c46,ADJUSTED_OHLC_ORDER_VIOLATION,DAILY_PRICE_ROW,2016-10-31,2016-10-31,REJECT,ERROR,False,"{""adjusted_source_id"":""PYKRX_NAVER_ADJUSTED"",""source_id"":""PYKRX_KRX_UNADJUSTED""}"
d149ef11026387d5,ADJUSTED_OHLC_ORDER_VIOLATION,DAILY_PRICE_ROW,2016-11-01,2016-11-01,REJECT,ERROR,False,"{""adjusted_source_id"":""PYKRX_NAVER_ADJUSTED"",""source_id"":""PYKRX_KRX_UNADJUSTED""}"
80598621243d02ed,ADJUSTED_OHLC_ORDER_VIOLATION,DAILY_PRICE_ROW,2016-11-04,2016-11-04,REJECT,ERROR,False,"{""adjusted_source_id"":""PYKRX_NAVER_ADJUSTED"",""source_id"":""PYKRX_KRX_UNADJUSTED""}"
80598621243d02ed,ADJUSTED_OHLC_ORDER_VIOLATION,DAILY_PRICE_ROW,2016-11-04,2016-11-04,REJECT,ERROR,False,"{""adjusted_source_id"":""PYKRX_NAVER_ADJUSTED"",""source_id"":""PYKRX_KRX_UNADJUSTED""}"
6477602d811cb5b0,ADJUSTED_OHLC_ORDER_VIOLATION,DAILY_PRICE_ROW,2016-11-08,2016-11-08,REJECT,ERROR,False,"{""adjusted_source_id"":""PYKRX_NAVER_ADJUSTED"",""source_id"":""PYKRX_KRX_UNADJUSTED""}"
ecaccd462a6a50ac,ADJUSTED_OHLC_ORDER_VIOLATION,DAILY_PRICE_ROW,2016-11-15,2016-11-15,REJECT,ERROR,False,"{""adjusted_source_id"":""PYKRX_NAVER_ADJUSTED"",""source_id"":""PYKRX_KRX_UNADJUSTED""}"
6eb9f08c090b129c,ADJUSTED_OHLC_ORDER_VIOLATION,DAILY_PRICE_ROW,2016-11-18,2016-11-18,REJECT,ERROR,False,"{""adjusted_source_id"":""PYKRX_NAVER_ADJUSTED"",""source_id"":""PYKRX_KRX_UNADJUSTED""}"
adc41de5e4a8804c,ADJUSTED_OHLC_ORDER_VIOLATION,DAILY_PRICE_ROW,2016-11-25,2016-11-25,REJECT,ERROR,False,"{""adjusted_source_id"":""PYKRX_NAVER_ADJUSTED"",""source_id"":""PYKRX_KRX_UNADJUSTED""}"
678f15e426f8e14a,ADJUSTED_OHLC_ORDER_VIOLATION,DAILY_PRICE_ROW,2016-11-30,2016-11-30,REJECT,ERROR,False,"{""adjusted_source_id"":""PYKRX_NAVER_ADJUSTED"",""source_id"":""PYKRX_KRX_UNADJUSTED""}"
98872ed9f2a88a49,ADJUSTED_OHLC_ORDER_VIOLATION,DAILY_PRICE_ROW,2016-12-01,2016-12-01,REJECT,ERROR,False,"{""adjusted_source_id"":""PYKRX_NAVER_ADJUSTED"",""source_id"":""PYKRX_KRX_UNADJUSTED""}"
019901856d45e371,ADJUSTED_OHLC_ORDER_VIOLATION,DAILY_PRICE_ROW,2016-12-06,2016-12-06,REJECT,ERROR,False,"{""adjusted_source_id"":""PYKRX_NAVER_ADJUSTED"",""source_id"":""PYKRX_KRX_UNADJUSTED""}"
019901856d45e371,ADJUSTED_OHLC_ORDER_VIOLATION,DAILY_PRICE_ROW,2016-12-06,2016-12-06,REJECT,ERROR,False,"{""adjusted_source_id"":""PYKRX_NAVER_ADJUSTED"",""source_id"":""PYKRX_KRX_UNADJUSTED""}"
d3bbcf962f4da87a,ADJUSTED_OHLC_ORDER_VIOLATION,DAILY_PRICE_ROW,2016-12-13,2016-12-13,REJECT,ERROR,False,"{""adjusted_source_id"":""PYKRX_NAVER_ADJUSTED"",""source_id"":""PYKRX_KRX_UNADJUSTED""}"
e3a3397614db2107,ADJUSTED_OHLC_ORDER_VIOLATION,DAILY_PRICE_ROW,2016-12-14,2016-12-14,REJECT,ERROR,False,"{""adjusted_source_id"":""PYKRX_NAVER_ADJUSTED"",""source_id"":""PYKRX_KRX_UNADJUSTED""}"
ea5bf44443cb4e43,ADJUSTED_OHLC_ORDER_VIOLATION,DAILY_PRICE_ROW,2016-12-19,2016-12-19,REJECT,ERROR,False,"{""adjusted_source_id"":""PYKRX_NAVER_ADJUSTED"",""source_id"":""PYKRX_KRX_UNADJUSTED""}"
6f2cf7c7b66711e7,ADJUSTED_OHLC_ORDER_VIOLATION,DAILY_PRICE_ROW,2016-12-20,2016-12-20,REJECT,ERROR,False,"{""adjusted_source_id"":""PYKRX_NAVER_ADJUSTED"",""source_id"":""PYKRX_KRX_UNADJUSTED""}"
6c3212c6515519a0,ADJUSTED_OHLC_ORDER_VIOLATION,DAILY_PRICE_ROW,2016-12-23,2016-12-23,REJECT,ERROR,False,"{""adjusted_source_id"":""PYKRX_NAVER_ADJUSTED"",""source_id"":""PYKRX_KRX_UNADJUSTED""}"
5886245e66a76df0,ADJUSTED_OHLC_ORDER_VIOLATION,DAILY_PRICE_ROW,2016-12-26,2016-12-26,REJECT,ERROR,False,"{""adjusted_source_id"":""PYKRX_NAVER_ADJUSTED"",""source_id"":""PYKRX_KRX_UNADJUSTED""}"
5296936d4ffbb7e6,ADJUSTED_OHLC_ORDER_VIOLATION,DAILY_PRICE_ROW,2017-01-02,2017-01-02,REJECT,ERROR,False,"{""adjusted_source_id"":""PYKRX_NAVER_ADJUSTED"",""source_id"":""PYKRX_KRX_UNADJUSTED""}"
c48ca5179ce5e615,ADJUSTED_OHLC_ORDER_VIOLATION,DAILY_PRICE_ROW,2017-01-03,2017-01-03,REJECT,ERROR,False,"{""adjusted_source_id"":""PYKRX_NAVER_ADJUSTED"",""source_id"":""PYKRX_KRX_UNADJUSTED""}"
0f898169c1b09854,ADJUSTED_OHLC_ORDER_VIOLATION,DAILY_PRICE_ROW,2017-01-06,2017-01-06,REJECT,ERROR,False,"{""adjusted_source_id"":""PYKRX_NAVER_ADJUSTED"",""source_id"":""PYKRX_KRX_UNADJUSTED""}"
511b0fd4e3347436,ADJUSTED_OHLC_ORDER_VIOLATION,DAILY_PRICE_ROW,2017-01-13,2017-01-13,REJECT,ERROR,False,"{""adjusted_source_id"":""PYKRX_NAVER_ADJUSTED"",""source_id"":""PYKRX_KRX_UNADJUSTED""}"
511b0fd4e3347436,ADJUSTED_OHLC_ORDER_VIOLATION,DAILY_PRICE_ROW,2017-01-13,2017-01-13,REJECT,ERROR,False,"{""adjusted_source_id"":""PYKRX_NAVER_ADJUSTED"",""source_id"":""PYKRX_KRX_UNADJUSTED""}"
9ebbc1c27fa2f5b6,ADJUSTED_OHLC_ORDER_VIOLATION,DAILY_PRICE_ROW,2017-01-23,2017-01-23,REJECT,ERROR,False,"{""adjusted_source_id"":""PYKRX_NAVER_ADJUSTED"",""source_id"":""PYKRX_KRX_UNADJUSTED""}"
6aa3d50faa54c7c0,ADJUSTED_OHLC_ORDER_VIOLATION,DAILY_PRICE_ROW,2017-02-01,2017-02-01,REJECT,ERROR,False,"{""adjusted_source_id"":""PYKRX_NAVER_ADJUSTED"",""source_id"":""PYKRX_KRX_UNADJUSTED""}"
1fa32bba224e6b8c,ADJUSTED_OHLC_ORDER_VIOLATION,DAILY_PRICE_ROW,2017-02-02,2017-02-02,REJECT,ERROR,False,"{""adjusted_source_id"":""PYKRX_NAVER_ADJUSTED"",""source_id"":""PYKRX_KRX_UNADJUSTED""}"
c8458af9a41dc2f5,ADJUSTED_OHLC_ORDER_VIOLATION,DAILY_PRICE_ROW,2017-02-03,2017-02-03,REJECT,ERROR,False,"{""adjusted_source_id"":""PYKRX_NAVER_ADJUSTED"",""source_id"":""PYKRX_KRX_UNADJUSTED""}"
1263c1f852628306,ADJUSTED_OHLC_ORDER_VIOLATION,DAILY_PRICE_ROW,2017-02-06,2017-02-06,REJECT,ERROR,False,"{""adjusted_source_id"":""PYKRX_NAVER_ADJUSTED"",""source_id"":""PYKRX_KRX_UNADJUSTED""}"
d19461cfc2dd0a6a,ADJUSTED_OHLC_ORDER_VIOLATION,DAILY_PRICE_ROW,2017-02-07,2017-02-07,REJECT,ERROR,False,"{""adjusted_source_id"":""PYKRX_NAVER_ADJUSTED"",""source_id"":""PYKRX_KRX_UNADJUSTED""}"
fd8ffe6d95717a31,ADJUSTED_OHLC_ORDER_VIOLATION,DAILY_PRICE_ROW,2017-02-08,2017-02-08,REJECT,ERROR,False,"{""adjusted_source_id"":""PYKRX_NAVER_ADJUSTED"",""source_id"":""PYKRX_KRX_UNADJUSTED""}"
c8db2aee6ecfac1d,ADJUSTED_OHLC_ORDER_VIOLATION,DAILY_PRICE_ROW,2017-02-09,2017-02-09,REJECT,ERROR,False,"{""adjusted_source_id"":""PYKRX_NAVER_ADJUSTED"",""source_id"":""PYKRX_KRX_UNADJUSTED""}"
af862155514faa84,ADJUSTED_OHLC_ORDER_VIOLATION,DAILY_PRICE_ROW,2017-02-14,2017-02-14,REJECT,ERROR,False,"{""adjusted_source_id"":""PYKRX_NAVER_ADJUSTED"",""source_id"":""PYKRX_KRX_UNADJUSTED""}"
5977137d8121c8e8,ADJUSTED_OHLC_ORDER_VIOLATION,DAILY_PRICE_ROW,2017-02-15,2017-02-15,REJECT,ERROR,False,"{""adjusted_source_id"":""PYKRX_NAVER_ADJUSTED"",""source_id"":""PYKRX_KRX_UNADJUSTED""}"
e0177174d54be4c5,ADJUSTED_OHLC_ORDER_VIOLATION,DAILY_PRICE_ROW,2017-02-16,2017-02-16,REJECT,ERROR,False,"{""adjusted_source_id"":""PYKRX_NAVER_ADJUSTED"",""source_id"":""PYKRX_KRX_UNADJUSTED""}"
e0177174d54be4c5,ADJUSTED_OHLC_ORDER_VIOLATION,DAILY_PRICE_ROW,2017-02-16,2017-02-16,REJECT,ERROR,False,"{""adjusted_source_id"":""PYKRX_NAVER_ADJUSTED"",""source_id"":""PYKRX_KRX_UNADJUSTED""}"
48a0f04b16c80191,ADJUSTED_OHLC_ORDER_VIOLATION,DAILY_PRICE_ROW,2017-02-17,2017-02-17,REJECT,ERROR,False,"{""adjusted_source_id"":""PYKRX_NAVER_ADJUSTED"",""source_id"":""PYKRX_KRX_UNADJUSTED""}"
847ebe050570778e,ADJUSTED_OHLC_ORDER_VIOLATION,DAILY_PRICE_ROW,2017-02-20,2017-02-20,REJECT,ERROR,False,"{""adjusted_source_id"":""PYKRX_NAVER_ADJUSTED"",""source_id"":""PYKRX_KRX_UNADJUSTED""}"
0a0ee544b4a92ed8,ADJUSTED_OHLC_ORDER_VIOLATION,DAILY_PRICE_ROW,2017-02-21,2017-02-21,REJECT,ERROR,False,"{""adjusted_source_id"":""PYKRX_NAVER_ADJUSTED"",""source_id"":""PYKRX_KRX_UNADJUSTED""}"
ba96e38b75ce4f06,ADJUSTED_OHLC_ORDER_VIOLATION,DAILY_PRICE_ROW,2017-02-22,2017-02-22,REJECT,ERROR,False,"{""adjusted_source_id"":""PYKRX_NAVER_ADJUSTED"",""source_id"":""PYKRX_KRX_UNADJUSTED""}"
3893c54e10997fc6,ADJUSTED_OHLC_ORDER_VIOLATION,DAILY_PRICE_ROW,2017-02-23,2017-02-23,REJECT,ERROR,False,"{""adjusted_source_id"":""PYKRX_NAVER_ADJUSTED"",""source_id"":""PYKRX_KRX_UNADJUSTED""}"
a4140df5e5b6e047,ADJUSTED_OHLC_ORDER_VIOLATION,DAILY_PRICE_ROW,2017-02-24,2017-02-24,REJECT,ERROR,False,"{""adjusted_source_id"":""PYKRX_NAVER_ADJUSTED"",""source_id"":""PYKRX_KRX_UNADJUSTED""}"
3f8b2eaf772c303b,ADJUSTED_OHLC_ORDER_VIOLATION,DAILY_PRICE_ROW,2017-02-27,2017-02-27,REJECT,ERROR,False,"{""adjusted_source_id"":""PYKRX_NAVER_ADJUSTED"",""source_id"":""PYKRX_KRX_UNADJUSTED""}"
4a3d6873c0d29d5e,ADJUSTED_OHLC_ORDER_VIOLATION,DAILY_PRICE_ROW,2017-02-28,2017-02-28,REJECT,ERROR,False,"{""adjusted_source_id"":""PYKRX_NAVER_ADJUSTED"",""source_id"":""PYKRX_KRX_UNADJUSTED""}"
9a5a25582045af96,ADJUSTED_OHLC_ORDER_VIOLATION,DAILY_PRICE_ROW,2017-03-02,2017-03-02,REJECT,ERROR,False,"{""adjusted_source_id"":""PYKRX_NAVER_ADJUSTED"",""source_id"":""PYKRX_KRX_UNADJUSTED""}"
41b3378698ad5a55,ADJUSTED_OHLC_ORDER_VIOLATION,DAILY_PRICE_ROW,2017-03-03,2017-03-03,REJECT,ERROR,False,"{""adjusted_source_id"":""PYKRX_NAVER_ADJUSTED"",""source_id"":""PYKRX_KRX_UNADJUSTED""}"
62a4292460773b28,ADJUSTED_OHLC_ORDER_VIOLATION,DAILY_PRICE_ROW,2017-03-06,2017-03-06,REJECT,ERROR,False,"{""adjusted_source_id"":""PYKRX_NAVER_ADJUSTED"",""source_id"":""PYKRX_KRX_UNADJUSTED""}"
7d37c6f182b12e87,ADJUSTED_OHLC_ORDER_VIOLATION,DAILY_PRICE_ROW,2017-03-07,2017-03-07,REJECT,ERROR,False,"{""adjusted_source_id"":""PYKRX_NAVER_ADJUSTED"",""source_id"":""PYKRX_KRX_UNADJUSTED""}"
dff93d79f209e946,ADJUSTED_OHLC_ORDER_VIOLATION,DAILY_PRICE_ROW,2017-03-08,2017-03-08,REJECT,ERROR,False,"{""adjusted_source_id"":""PYKRX_NAVER_ADJUSTED"",""source_id"":""PYKRX_KRX_UNADJUSTED""}"
